EmployeeID,SpecialtyID
3800-2,7019
2625-1,7019
7700-2,7019
9027-1,7019
2030-2,7019
7650-1,7019
9070-1,7019
7700-1,7019
6300-1,7019
2030-1,7019
3800-1,7019
7610-1,7019
7610-2,7019
3850-2,7019
2600-2,7019
5300-2,7019
7675-1,7019
6800-1,7019
5300-1,7019
3300-1,7019
6800-2,7019
3850-1,7019
2170-1,7019
2600-1,7019
7675-2,7020
2650-1,7020
9027-1,7020
7650-1,7020
9070-1,7020
3800-1,7020
7610-1,7020
7675-1,7020
4600-1,7022
4600-1,7023
2170-1,7023
2600-1,7023
6500-2,7024
3800-2,7024
6500-1,7024
4300-1,7024
6300-1,7024
7650-1,7024
4300-2,7024
9070-1,7024
3800-1,7024
2600-2,7024
6800-1,7024
6800-2,7024
2600-1,7024
6063-1,7026
3800-2,7027
6300-1,7027
3800-1,7027
7675-1,7027
6800-1,7027
2600-1,7027
3560-1,7028
9027-2,7028
2650-1,7028
9027-1,7028
7675-1,7028
2600-1,7028
5550-2,7029
6500-2,7029
9027-2,7029
5550-1,7029
6500-1,7029
7690-1,7029
3800-2,7029
2650-1,7029
9027-1,7029
6300-1,7029
3800-1,7029
6800-1,7029
6800-2,7029
7675-1,7029
2600-1,7029
2625-1,7030
9027-2,7030
7610-2,7030
4950-1,7030
7650-1,7030
7690-1,7030
9070-1,7030
9027-1,7030
2600-2,7030
6300-1,7030
3800-1,7030
3850-1,7030
6800-1,7030
6800-2,7030
2170-1,7030
7675-1,7030
2600-1,7030
5550-2,7031
6500-2,7031
5550-1,7031
6500-1,7031
3800-2,7031
7610-1,7031
7610-2,7031
2600-2,7031
6300-1,7031
3800-1,7031
6800-1,7031
6800-2,7031
2170-1,7031
7675-1,7031
2600-1,7031
2625-1,7032
9027-2,7032
7650-1,7032
3800-2,7032
9027-1,7032
3300-1,7032
2600-2,7032
3800-1,7032
6800-1,7032
6800-2,7032
2170-1,7032
7675-1,7032
2600-1,7032
7200-2,7033
7200-1,7033
7485-1,7033
6063-2,7033
6063-1,7033
4300-1,7033
2625-1,7033
3850-2,7033
4300-2,7033
4950-2,7033
7650-1,7033
3800-2,7033
2600-2,7033
3800-1,7033
2170-1,7033
2600-1,7033
3560-1,7034
2650-1,7034
6300-1,7034
7675-1,7034
8900-1,7035
7675-2,7035
5900-1,7035
4950-2,7035
7650-1,7035
6800-1,7035
6800-2,7035
2170-1,7035
7675-1,7035
2600-1,7035
8900-1,7036
4600-1,7036
5300-1,7036
5900-1,7036
7650-1,7036
2170-1,7036
2600-1,7036
3525-2,7037
6063-2,7037
6063-1,7037
7200-2,7038
7200-1,7038
2030-2,7038
7675-2,7038
6063-2,7038
4300-1,7038
8000-1,7038
4300-2,7038
2650-1,7038
7650-1,7038
6800-1,7038
6800-2,7038
7675-1,7038
2170-1,7038
2600-1,7038
7200-2,7039
7200-1,7039
7675-2,7039
8000-1,7039
2650-1,7039
6300-1,7039
7675-1,7039
2625-1,7040
7690-1,7040
4850-1,7041
8100-1,7042
3525-1,7042
